date,time,N,itermax,tolerance,algorithm,omp_max_threads,cli_threads,omp_dynamic,threads_used,wall_total_s,solver_total_s,solver_update_s,iters_done,diffmax_final
2026-01-14,19:36:18,50,5000, 1.00000E-05,jacobi,2,2,0,2, 6.1800003051757812E-01, 6.1700010299682617E-01, 5.2199864387512207E-01,0, 9.9859163071869261E-06
2026-01-14,19:57:33,50,5000, 1.00000E-05,jacobi,2,2,0,2, 6.0800004005432129E-01, 6.0500001907348633E-01, 5.1000118255615234E-01,0, 9.9859163071869261E-06
2026-01-14,19:57:57,50,5000, 1.00000E-05,jacobi,2,2,0,2, 6.2199997901916504E-01, 6.2100005149841309E-01, 5.2399945259094238E-01,0, 9.9859163071869261E-06
2026-01-15,11:04:28,50,5000, 1.00000E-05,jacobi,12,-1,0,12, 1.3029999732971191E+00, 1.3009998798370361E+00, 7.1599721908569336E-01,0, 9.9859163071869261E-06
2026-01-15,11:05:59,50,5000, 1.00000E-05,jacobi,12,-1,0,12, 1.1419999599456787E+00, 1.1399998664855957E+00, 6.1599898338317871E-01,0, 9.9859163071869261E-06
2026-01-15,11:06:02,50,5000, 1.00000E-05,jacobi,12,-1,0,12, 1.1879999637603760E+00, 1.1859998703002930E+00, 6.2400341033935547E-01,0, 9.9859163071869261E-06
2026-01-15,11:49:05,50,5000, 1.00000E-05,jacobi,12,-1,0,12, 1.1570000648498535E+00, 1.1539998054504395E+00, 6.0099887847900391E-01,0, 9.9859163071869261E-06
2026-01-15,11:49:09,50,5000, 1.00000E-05,jacobi,12,-1,0,12, 1.1830000877380371E+00, 1.1800000667572021E+00, 6.2199687957763672E-01,0, 9.9859163071869261E-06
2026-01-15,11:59:36,50,5000, 1.00000E-05,jacobi,12,-1,0,12, 1.2540001869201660E+00, 1.2520000934600830E+00, 6.7600035667419434E-01,0, 9.9859163071869261E-06
2026-01-15,12:10:35,50,5000, 1.00000E-05,jacobi,2,2,0,2, 5.7699990272521973E-01, 5.7599997520446777E-01, 4.8799943923950195E-01,0, 9.9859163071869261E-06
2026-01-15,12:10:42,50,5000, 1.00000E-05,jacobi,12,12,0,12, 1.1899998188018799E+00, 1.1870000362396240E+00, 6.2800049781799316E-01,0, 9.9859163071869261E-06
2026-01-15,12:10:45,50,5000, 1.00000E-05,jacobi,4,4,0,4, 6.5900015830993652E-01, 6.5700006484985352E-01, 4.5999956130981445E-01,0, 9.9859163071869261E-06
2026-01-15,12:10:50,50,5000, 1.00000E-05,jacobi,3,3,0,3, 5.5900001525878906E-01, 5.5799984931945801E-01, 4.2000007629394531E-01,0, 9.9859163071869261E-06
2026-01-15,12:10:56,50,5000, 1.00000E-05,jacobi,1,1,0,1, 7.5800013542175293E-01, 7.5700020790100098E-01, 7.5300002098083496E-01,0, 9.9859163071869261E-06
2026-01-15,12:11:12,50,5000, 1.00000E-05,jacobi,8,8,0,8, 9.4299983978271484E-01, 9.4099998474121094E-01, 5.8400273323059082E-01,0, 9.9859163071869261E-06
2026-01-19,13:36:13,100,5000, 1.00000E-05,jacobi,1,1,0,1, 1.9076899282168597E+01, 1.9062063544057310E+01, 1.9052383696194738E+01,0, 4.3908869434972075E-04
2026-01-19,13:36:23,100,5000, 1.00000E-05,jacobi,2,2,0,2, 9.5748192379251122E+00, 9.5645799809135497E+00, 9.5531528093852103E+00,0, 4.3908869434972075E-04
2026-01-19,13:36:29,100,5000, 1.00000E-05,jacobi,3,3,0,3, 6.4288584548048675E+00, 6.4210775443352759E+00, 6.4093824843876064E+00,0, 4.3908869434972075E-04
2026-01-19,13:36:34,100,5000, 1.00000E-05,jacobi,4,4,0,4, 4.8253606590442359E+00, 4.8184619927778840E+00, 4.8065437246114016E+00,0, 4.3908869434972075E-04
2026-01-19,13:36:38,100,5000, 1.00000E-05,jacobi,5,5,0,5, 3.8513038349337876E+00, 3.8461728682741523E+00, 3.8338778452016413E+00,0, 4.3908869434972075E-04
2026-01-19,13:36:41,100,5000, 1.00000E-05,jacobi,6,6,0,6, 3.2115865913219750E+00, 3.2069844021461904E+00, 3.1949378936551511E+00,0, 4.3908869434972075E-04
2026-01-19,13:36:44,100,5000, 1.00000E-05,jacobi,7,7,0,7, 2.7733179181814194E+00, 2.7691472251899540E+00, 2.7570825037546456E+00,0, 4.3908869434972075E-04
2026-01-19,13:36:47,100,5000, 1.00000E-05,jacobi,8,8,0,8, 2.4291217341087759E+00, 2.4245917270891368E+00, 2.4116873214952648E+00,0, 4.3908869434972075E-04
2026-01-19,13:36:49,100,5000, 1.00000E-05,jacobi,9,9,0,9, 2.1590240788646042E+00, 2.1550503568723798E+00, 2.1422063894569874E+00,0, 4.3908869434972075E-04
2026-01-19,13:36:51,100,5000, 1.00000E-05,jacobi,10,10,0,10, 1.9509391412138939E+00, 1.9473210312426090E+00, 1.9321502470411360E+00,0, 4.3908869434972075E-04
2026-01-19,13:36:53,100,5000, 1.00000E-05,jacobi,11,11,0,11, 1.7785804891027510E+00, 1.7751167751848698E+00, 1.7585277841426432E+00,0, 4.3908869434972075E-04
2026-01-19,13:36:55,100,5000, 1.00000E-05,jacobi,12,12,0,12, 1.6938314940780401E+00, 1.6901758788153529E+00, 1.6735306247137487E+00,0, 4.3908869434972075E-04
2026-01-19,13:36:57,100,5000, 1.00000E-05,jacobi,13,13,0,13, 1.5918094036169350E+00, 1.5880833440460265E+00, 1.5497515816241503E+00,0, 4.3908869434972075E-04
2026-01-19,13:36:58,100,5000, 1.00000E-05,jacobi,14,14,0,14, 1.4723968328908086E+00, 1.4685715888626873E+00, 1.4277739389799535E+00,0, 4.3908869434972075E-04
2026-01-19,13:37:00,100,5000, 1.00000E-05,jacobi,15,15,0,15, 1.3720935769379139E+00, 1.3687053830362856E+00, 1.3283034050837159E+00,0, 4.3908869434972075E-04
2026-01-19,13:37:01,100,5000, 1.00000E-05,jacobi,16,16,0,16, 1.2965437220409513E+00, 1.2931227171793580E+00, 1.2513394155539572E+00,0, 4.3908869434972075E-04
2026-01-19,13:37:02,100,5000, 1.00000E-05,jacobi,17,17,0,17, 1.2526209908537567E+00, 1.2491049100644886E+00, 1.2017424302175641E+00,0, 4.3908869434972075E-04
2026-01-19,13:37:04,100,5000, 1.00000E-05,jacobi,18,18,0,18, 1.1847643712535501E+00, 1.1815833221189678E+00, 1.1294615138322115E+00,0, 4.3908869434972075E-04
2026-01-19,13:37:05,100,5000, 1.00000E-05,jacobi,19,19,0,19, 1.1148528200574219E+00, 1.1115152309648693E+00, 1.0661348942667246E+00,0, 4.3908869434972075E-04
2026-01-19,13:37:06,100,5000, 1.00000E-05,jacobi,20,20,0,20, 1.0769702210091054E+00, 1.0734715750440955E+00, 1.0213584541343153E+00,0, 4.3908869434972075E-04
2026-01-19,13:37:07,100,5000, 1.00000E-05,jacobi,21,21,0,21, 1.0612966637127101E+00, 1.0530639700591564E+00, 9.9577778996899724E-01,0, 4.3908869434972075E-04
2026-01-19,13:37:08,100,5000, 1.00000E-05,jacobi,22,22,0,22, 1.0245173750445247E+00, 1.0210467679426074E+00, 9.5928640430793166E-01,0, 4.3908869434972075E-04
2026-01-19,13:37:09,100,5000, 1.00000E-05,jacobi,23,23,0,23, 9.7919487301260233E-01, 9.7568244813010097E-01, 9.1028558695688844E-01,0, 4.3908869434972075E-04
2026-01-19,13:37:10,100,5000, 1.00000E-05,jacobi,24,24,0,24, 9.6078318590298295E-01, 9.5729868393391371E-01, 9.0355073381215334E-01,0, 4.3908869434972075E-04
2026-01-20,18:34:55,100,5000, 1.00000E-05,jacobi,8,8,0,8, 4.1140000820159912E+00, 4.1119999885559082E+00, 3.6399965286254883E+00,0, 4.3908869434616804E-04
